Name	Mode	Frequency MHz	Comment
X-10 control 	am	0.1200	120 Khz Control Frequency
Insteon Control 	am	0.1315	131.5 Khz Control Frequency
WWV	am	2.5000	WWV Time Standard
WWV	am	5.0000	WWV Time Standard
WWV	am	10.0000	WWV Time Standard
WWV	am	15.0000	WWV Time Standard
WWV	am	20.0000	WWV Time Standard
WWV	am	25.0000	WWV Time Standard
Ham 80	lsb	3.9000	Radio Amateur Band
Ham 40	lsb	7.2000	Radio Amateur Band
Ham 20	usb	14.2000	Radio Amateur Band
Ham 15	usb	21.2000	Radio Amateur Band
Ham 10	usb	28.2000	Radio Amateur Band
SWL 120 meter	am	2.3000	2300-2500 Khz
SWL 90 meter	am	3.2000	3200-3500 Khz
SWL 75 meter	am	3.9000	3900-4000 Khz
SWL 60 meter	am	4.7500	4750-5060 Khz
SWL 49 meter	am	5.9000	5900-6200 Khz
SWL 41 meter	am	7.1000	7100-7350 Khz
SWL 31 meter	am	9.4000	9400-10000 Khz
SWL 25 meter	am	11.6000	11600-12160 Khz
SWL 22 meter	am	13.5700	13570-13870 Khz
SWL 19 meter	am	15.1000	15100-15800 Khz
SWL 16 meter	am	17.5000	17500-17900 Khz
SWL 15 meter	am	18.9000	18900-19020 Khz
SWL 13 meter	am	21.4500	21450-21750 Khz
SWL 11 meter	am	25.6000	25600-26100 Khz
Navtex	usb	0.5170	Navtex decode 0.518 (-1 Khz)
Marine Emergency	usb	2.1820	International distress & calling
Marine Emergency	usb	4.1250	International distress & calling
Marine Emergency	usb	6.2150	International distress & calling
Marine Emergency	usb	8.2910	International distress & calling
Marine Emergency	usb	12.2900	International distress & calling
Marine Emergency	usb	16.4200	International distress & calling
Marine Working	usb	2.6700	CG Working
Marine ITU 424	usb	4.1340	500 mile CG Working
Marine ITU 601	usb	6.2000	Gulf Coast Guard working channel
Marine ITU 816	usb	8.2400	Medium range CG Working
Marine ITU 1205	usb	12.2420	Long range 24H CG Working
Marine ITU 1625	usb	16.4320	Day/evening long range CG Working
HF Weather	usb	2.0540	BC-Canada Weather
HF-FAX Pt. Reyes	usb	4.3441	HF Weather FAX (-1.9 KHz)
HF-FAX Pt. Reyes	usb	8.6801	HF Weather FAX (-1.9 KHz)
HF-FAX Pt. Reyes	usb	12.7841	HF Weather FAX (-1.9 KHz)
HF-FAX Pt. Reyes	usb	17.1493	HF Weather FAX (-1.9 KHz)
HF-FAX Pt. Reyes	usb	22.5251	HF Weather FAX (-1.9 KHz)
HF-FAX Hawaii	usb	9.9806	HF Weather FAX (-1.9 KHz)
HF-FAX Hawaii	usb	11.0881	HF Weather FAX (-1.9 KHz)
HF-FAX Hawaii	usb	16.1331	HF Weather FAX (-1.9 KHz)
HF-FAX Kodiak	usb	2.0521	HF Weather FAX (-1.9 KHz)
HF-FAX Kodiak	usb	4.2961	HF Weather FAX (-1.9 KHz)
HF-FAX Kodiak	usb	8.4571	HF Weather FAX (-1.9 KHz)
HF-FAX Kodiak	usb	12.4106	HF Weather FAX (-1.9 KHz)
Weather W01	fm	162.5500	VHF Weather
Weather W02	fm	162.4000	VHF Weather
Weather W03	fm	162.4750	VHF Weather
Weather W04	fm	162.4250	VHF Weather
Weather W05	fm	162.4500	VHF Weather
Weather W06	fm	162.5000	VHF Weather
Weather W07	fm	162.5250	VHF Weather
Weather W08	fm	161.6500	VHF Weather
Weather W09	fm	161.7750	VHF Weather
Weather W10	fm	163.2750	VHF Weather
Marine VHF 01A	fm	156.0500	Nautical VHF Radio
Marine VHF 03A	fm	156.1500	Nautical VHF Radio
Marine VHF 05A	fm	156.2500	Nautical VHF Radio
Marine VHF 06	fm	156.3000	Nautical VHF Radio
Marine VHF 07A	fm	156.3500	Nautical VHF Radio
Marine VHF 08	fm	156.4000	Nautical VHF Radio
Marine VHF 09	fm	156.4500	Nautical VHF Radio
Marine VHF 10	fm	156.5000	Nautical VHF Radio
Marine VHF 11	fm	156.5500	Nautical VHF Radio
Marine VHF 12	fm	156.6000	Nautical VHF Radio
Marine VHF 13	fm	156.6500	Nautical VHF Radio
Marine VHF 14	fm	156.7000	Nautical VHF Radio
Marine VHF 15	fm	156.7500	Nautical VHF Radio
Marine VHF 16	fm	156.8000	Nautical VHF Radio
Marine VHF 17	fm	156.8500	Nautical VHF Radio
Marine VHF 18A	fm	156.9000	Nautical VHF Radio
Marine VHF 19A	fm	161.5500	Nautical VHF Radio
Marine VHF 20	fm	161.6000	Nautical VHF Radio
Marine VHF 20A	fm	157.0000	Nautical VHF Radio
Marine VHF 21A	fm	157.0500	Nautical VHF Radio
Marine VHF 22A	fm	157.1000	Nautical VHF Radio
Marine VHF 23A	fm	157.1500	Nautical VHF Radio
Marine VHF 24	fm	161.8000	Nautical VHF Radio
Marine VHF 25	fm	161.8500	Nautical VHF Radio
Marine VHF 26	fm	161.9000	Nautical VHF Radio
Marine VHF 27	fm	161.9500	Nautical VHF Radio
Marine VHF 28	fm	162.0000	Nautical VHF Radio
Marine VHF 61A	fm	156.0750	Nautical VHF Radio
Marine VHF 63A	fm	156.1750	Nautical VHF Radio
Marine VHF 64A	fm	156.2250	Nautical VHF Radio
Marine VHF 65A	fm	156.2750	Nautical VHF Radio
Marine VHF 66A	fm	156.3250	Nautical VHF Radio
Marine VHF 67	fm	156.3750	Nautical VHF Radio
Marine VHF 68	fm	156.4250	Nautical VHF Radio
Marine VHF 69	fm	156.4750	Nautical VHF Radio
Marine VHF 70	fm	156.5250	Nautical VHF Radio
Marine VHF 71	fm	156.5750	Nautical VHF Radio
Marine VHF 72	fm	156.6250	Nautical VHF Radio
Marine VHF 73	fm	156.6750	Nautical VHF Radio
Marine VHF 74	fm	156.7250	Nautical VHF Radio
Marine VHF 77	fm	156.8750	Nautical VHF Radio
Marine VHF 78A	fm	156.9250	Nautical VHF Radio
Marine VHF 79A	fm	156.9750	Nautical VHF Radio
Marine VHF 80A	fm	157.0250	Nautical VHF Radio
Marine VHF 81A	fm	157.0750	Nautical VHF Radio
Marine VHF 82A	fm	157.1250	Nautical VHF Radio
Marine VHF 83A	fm	157.1750	Nautical VHF Radio
Marine VHF 84	fm	161.8250	Nautical VHF Radio
Marine VHF 85	fm	161.8750	Nautical VHF Radio
Marine VHF 86	fm	161.9250	Nautical VHF Radio
Marine VHF 86A	fm	157.3250	Nautical VHF Radio
Marine VHF 87	fm	161.9750	Nautical VHF Radio
Marine VHF 88	fm	162.0250	Nautical VHF Radio
Marine VHF 88A	fm	157.4250	Nautical VHF Radio
FRS Ch 01	fm	462.5625	Family Radio Service
FRS Ch 02	fm	462.5875	Family Radio Service
FRS Ch 03	fm	462.6125	Family Radio Service
FRS Ch 04	fm	462.6375	Family Radio Service
FRS Ch 05	fm	462.6625	Family Radio Service
FRS Ch 06	fm	462.6875	Family Radio Service
FRS Ch 07	fm	462.7125	Family Radio Service
FRS Ch 08	fm	467.5625	Family Radio Service
FRS Ch 09	fm	467.5875	Family Radio Service
FRS Ch 10	fm	467.6125	Family Radio Service
FRS Ch 11	fm	467.6375	Family Radio Service
FRS Ch 12	fm	467.6625	Family Radio Service
FRS Ch 13	fm	467.6875	Family Radio Service
FRS Ch 14	fm	467.7125	Family Radio Service
FRS Ch 15	fm	462.5500	Family Radio Service
FRS Ch 16	fm	462.5750	Family Radio Service
FRS Ch 17	fm	462.6000	Family Radio Service
FRS Ch 18	fm	462.6250	Family Radio Service
FRS Ch 19	fm	462.6500	Family Radio Service
FRS Ch 20	fm	462.6750	Family Radio Service
FRS Ch 21	fm	462.7000	Family Radio Service
FRS Ch 22	fm	462.7250	Family Radio Service
CB 1	am	26.965	Citizens Band
CB 2	am	26.975	Citizens Band
CB 3	am	26.985	Citizens Band
CB 4	am	27.005	Citizens Band
CB 5	am	27.015	Citizens Band
CB 6	am	27.025	Citizens Band
CB 7	am	27.035	Citizens Band
CB 8	am	27.055	Citizens Band
CB 9	am	27.065	Citizens Band
CB 10	am	27.075	Citizens Band
CB 11	am	27.085	Citizens Band
CB 12	am	27.105	Citizens Band
CB 13	am	27.115	Citizens Band
CB 14	am	27.125	Citizens Band
CB 15	am	27.135	Citizens Band
CB 16	am	27.155	Citizens Band
CB 17	am	27.165	Citizens Band
CB 18	am	27.175	Citizens Band
CB 19	am	27.185	Citizens Band
CB 20	am	27.2050	Citizens Band
CB 21	am	27.2150	Citizens Band
CB 22	am	27.2250	Citizens Band
CB 23	am	27.2550	Citizens Band
CB 24	am	27.2350	Citizens Band
CB 25	am	27.2450	Citizens Band
CB 26	am	27.2650	Citizens Band
CB 27	am	27.2750	Citizens Band
CB 28	am	27.2850	Citizens Band
CB 29	am	27.2950	Citizens Band
CB 30	am	27.3050	Citizens Band
CB 31	am	27.3150	Citizens Band
CB 32	am	27.3250	Citizens Band
CB 33	am	27.3350	Citizens Band
CB 34	am	27.3450	Citizens Band
CB 35	am	27.3550	Citizens Band
CB 36	am	27.3650	Citizens Band
CB 37	am	27.3750	Citizens Band
CB 38	am	27.3850	Citizens Band
CB 39	am	27.3950	Citizens Band
CB 40	am	27.4050	Citizens Band
Computer clock	wfm	433.9200	LaCrosse clock temperature sensor transmitter
70 cm ham band	fm	440.00000	
Emergency Beacon	am	121.5000	EPIRB output frequency
Emergency Beacon	am	406.0000	EPIRB output frequency
